index,filename,title,full_year,start_year,mid_year,end_year,circa,continent,country,artstor_url,image_url,artstor_artist,first_artist,second_artist,notes,attributed_to,attributed_to_2,attributed_to_3,copy_of,in_style_of,workshop_of,circle_of
2798,0003541.jpeg,Portrait of a Lady,1693,,1693,,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/FRICKIG_10310848850;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/frick/d0001/frick_f1038_post_8b.jpg,"Musscher, Michiel van (Dutch, 1645-1705)",Michiel van Musscher,,,,,,,,,
2799,0003542.jpeg,Portrait of Helena van Heuvel,not dated,1654,1673.5,1693,guess,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/AMICO_BOSTON_103832522;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/amico/boston/bmfa.c45951cr_d1.jpg,Nicolaes Maes,Nicolaes Maes,,,,,,,,,
2800,0003544.jpeg,Portrait of the Artist's Wife,1694,,1694,,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/FRICKIG_10310495276;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/frick/d0001/w4419_post_8b.jpg,"Werff, Pieter van der (Dutch, 1665-p.1721/31)",Pieter van der Werff,,,,,,,,,
2801,0003545.jpeg,Portrait of the Artist,1694,,1694,,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/FRICKIG_10310495274;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/frick/d0001/w4418_post_8b.jpg,"Werff, Pieter van der (Dutch, 1665-p.1721/31)",Pieter van der Werff,,,,,,,,,
2802,0003546.jpeg,Portrait of a General,1694,,1694,,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/FRICKIG_1039777228;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/frick/d0001/frick_w1533_post_8b.jpg,"Ravesteyn the Younger, Nicolaes van (Dutch, 1661-1750)",Nicolaes van Ravesteyn the Younger,,,,,,,,,
2803,0003547.jpeg,Portrait of a Gentleman,1695,,1695,,,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/FRICKIG_10310498454;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/frick/d0001/w4570_post_8b.jpg,"Myn, Herman van der (Dutch, 1684-1741)",Herman van der Myn,,,,,,,,,
2804,0003548.jpeg,"Portrait of Diederik van Hogendorp, Lord of Cromstrijen, Councilor and Steward of the Domains of Stadtholder King William III [Diederik van Hogendorp (1625-1702). Heer van Cromstrijen. Raad en rekenmeester der domeinen van de stadhouder-koning Willem III]",ca. 1690,,1690,,yes,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313628482;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-822_8b_srgb.jpg,schilder: anoniem,Anonymous,,,,,,,,,
2805,0003549.jpeg,"Portrait of Petronella Kettingh, Wife of Diederik van Hogendorp [Petronella Kettingh (1632-1707). Echtgenote van Diederik van Hogendorp]",ca. 1690,,1690,,yes,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313628481;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-821_8b_srgb.jpg,schilder: anoniem,Anonymous,,,,,,,,,
2806,0003550.jpeg,"Portrait of François Leydecker, Delegate to the Court of Audit for Zeeland [François Leydecker (1650-1718). Gedeputeerde ter Generaliteitsrekenkamer wegens Zeeland]",ca. 1690,,1690,,yes,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313628483;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-824_8b_srgb.jpg,schilder: anoniem,Anonymous,,,,,,,,,
2807,0003551.jpeg,"Portrait of Anna Maria van Hogendorp, second Wife of François Leydecker [Anna Maria van Hogendorp (1655-1727). Tweede echtgenote van François Leydecker]",ca. 1690,,1690,,yes,Europe,Netherlands,https://library-artstor-org.proxy.library.upenn.edu/#/asset/ARIJKMUSEUMIG_10313628523;prevRouteTS=1568655970565,https://mdxdv.artstor.org/thumb/imgstor/size1/rijksmuseum/d0001/rijks_sk-a-827_8b_srgb.jpg,schilder: anoniem,Anonymous,,,,,,,,,
